"subject","group","task","run","BOLD","param","value","range"
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Max_relative_Movement",1.7511,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.1mm)",258,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.5mm)",15,NA
"sub-experimental006","experimental","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>voxelsize)",0,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","SNR_voxel_MEAN",11.8852452843468,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","SNR_voxel_STD",3.1475495346082,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","SNR_voxel_value_range",NA," 0.0 - 13.97"
"sub-experimental006","experimental","rest",1,"rest_run-1","Mean",106.544639771608,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","Mean_(mask)",455.899634272592,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","SD",222.992515181397,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","SD_(mask)",231.307188605401,NA
"sub-experimental006","experimental","rest",1,"rest_run-1","Min_Slice_SNR",294.078357875335,NA
